venta_id,fecha_id,cliente_id,producto_id,cantidad,precio_unitario_clp,descuento_pct,monto_total_clp,canal_venta,metodo_pago
1,1,93,64,1,1487000,0.1,1338300,Web,Cuotas sin interés
2,1,399,121,1,848000,0.0,848000,Web,Cuotas sin interés
3,1,342,141,1,625000,0.05,593750,Web,Débito
4,1,646,130,1,524000,0.05,497800,App Móvil,Transferencia
5,1,2009,102,1,22000,0.0,22000,Web,Débito
6,1,1647,58,1,1169000,0.0,1169000,Redes Sociales,Tarjeta Crédito
7,1,440,58,1,1169000,0.1,1052100,App Móvil,WebPay
8,1,2132,144,1,334000,0.05,317300,App Móvil,Tarjeta Crédito
9,1,2410,4,1,627000,0.0,627000,Web,Tarjeta Crédito
10,1,1215,100,1,107000,0.0,107000,App Móvil,Transferencia
11,1,50,99,3,88000,0.0,264000,Marketplace,Transferencia
12,1,2149,91,1,43000,0.1,38700,Marketplace,Cuotas sin interés
13,1,210,149,1,542000,0.0,542000,Marketplace,Tarjeta Crédito
14,1,1504,63,1,472000,0.05,448400,App Móvil,Débito
15,1,2168,66,1,52000,0.0,52000,Redes Sociales,Transferencia
16,1,2252,29,1,720000,0.0,720000,Marketplace,Cuotas sin interés
17,1,1018,75,2,9000,0.0,18000,Marketplace,WebPay
18,1,909,56,1,578000,0.1,520200,Web,Transferencia
19,1,1644,67,2,17000,0.0,34000,Web,Débito
20,1,226,118,1,196000,0.0,196000,Web,WebPay
21,1,2358,139,1,562000,0.05,533900,Marketplace,WebPay
22,1,1811,45,1,1606000,0.0,1606000,App Móvil,Tarjeta Crédito
23,1,352,69,3,64000,0.0,192000,App Móvil,WebPay
24,1,280,138,1,365000,0.0,365000,Marketplace,WebPay
25,2,2192,57,1,1679000,0.0,1679000,Marketplace,Cuotas sin interés
26,2,2051,46,1,286000,0.05,271700,Marketplace,Débito
27,2,2062,45,1,1606000,0.0,1606000,Redes Sociales,Transferencia
28,2,1747,66,2,52000,0.0,104000,Marketplace,Débito
29,2,1266,74,2,74000,0.05,140600,App Móvil,Débito
30,2,880,117,1,530000,0.0,530000,Marketplace,WebPay
31,2,1506,36,1,1408000,0.1,1267200,Marketplace,Cuotas sin interés
32,2,2034,101,3,78000,0.1,210600,App Móvil,Cuotas sin interés
33,2,1845,83,3,14000,0.1,37800,Web,Débito
34,2,1134,59,1,1462000,0.05,1388900,Web,Tarjeta Crédito
35,2,69,80,1,31000,0.0,31000,Marketplace,Tarjeta Crédito
36,2,131,61,1,1469000,0.0,1469000,Marketplace,Cuotas sin interés
37,2,1604,89,2,84000,0.0,168000,Web,WebPay
38,2,1576,75,1,9000,0.0,9000,App Móvil,Débito
39,2,1978,42,1,649000,0.05,616550,App Móvil,Transferencia
40,2,341,35,1,208000,0.0,208000,Web,Débito
41,2,1002,85,1,8000,0.0,8000,Redes Sociales,Transferencia
42,2,1571,133,1,616000,0.0,616000,Web,Débito
43,2,785,67,1,17000,0.0,17000,Web,Transferencia
44,3,589,12,1,1341000,0.05,1273950,Marketplace,Tarjeta Crédito
45,3,1128,95,2,65000,0.0,130000,Marketplace,WebPay
46,3,621,83,1,14000,0.05,13300,App Móvil,Tarjeta Crédito
47,3,1458,33,1,563000,0.0,563000,App Móvil,Cuotas sin interés
48,3,1619,43,1,615000,0.0,615000,App Móvil,WebPay
49,3,215,87,1,63000,0.0,63000,Marketplace,Débito
50,3,1173,61,1,1469000,0.0,1469000,Web,Débito
51,3,2179,140,1,496000,0.1,446400,Web,Transferencia
52,3,2436,114,1,876000,0.1,788400,Web,Transferencia
53,3,994,148,1,102000,0.0,102000,App Móvil,Transferencia
